,name,time,tweet
88,vērs saw batman 🦇,2022-03-13 01:28:26,que risa que acá en avellaneda le digan cinepolis y no village. es como el pertutti a blois en pleno avellaneda centro
89,jenni beasley,2022-03-13 01:28:20,De como Cinépolis nos hizo llorar jajajajaja
90,✿ ALI ✿,2022-03-13 01:28:15,"Gracias gracias a @Cinepolis y @MasQueCineLatam por traer este precioso concierto a sus pantallotas claro que sí 
L… https://t.co/UnZgXbOdl9"
91,🗝 K E Y🗝,2022-03-13 01:28:03,Si era problema de la transmisión en vivo porq otras salas seguían con normalidad?!? NOS PERDIMOS 4 CANCIONES PORQ… https://t.co/CqYZSkXjot
92,VanessaLp,2022-03-13 01:27:58,"@Cinepolis Oye, que onda con que en Estados como Baja California Sur las funciones empezaron 1 hora antes ""porque s… https://t.co/3pUxcp6uRw"
93,Kari♡,2022-03-13 01:27:53,Mi amore Seokjin precioso💜 jajaja casi me quedo sorda(pero fue buena decisión de cinepolis porque no dejaban de gri… https://t.co/QAKyP4k84d
94,jenni beasley,2022-03-13 01:27:53,"En fin, @Cinepolis que mala experiencia nos dieron )): https://t.co/29f3VbR34h"
95,pavlecita,2022-03-13 01:27:48,"@Cinepolis Lindo, pero triste que hayan cortado el show más de cinco veces perdiendo momentos importantes, fuera de… https://t.co/9r8JHi615A"
96,Deyanira Fuentes 🦕,2022-03-13 01:27:42,"@Cinepolis Mil gracias por el evento, pudimos gritar y cantar con BTS https://t.co/BqgHseHb2i"
97,𝐕𝐚𝐥𝐞𝐧𝐭𝐢𝐧𝐚🚀🇲🇽 BTS AOTY,2022-03-13 01:27:33,"yo canté (no gritando) y bailé en mi lugar y literalmente para mí fue un concierto, fue fantástico porque hubo repe… https://t.co/rb55aDGYxt"
98,Adri Castillo,2022-03-13 01:27:22,@Cinepolis Joel y para las ARMYS que vimos re mal el concierto en sus salas que procede???
99,ネリ かわいい,2022-03-13 01:27:18,@MasQueCineLatam #cinepolis #PermissionToDanceOnStage #BTSCONCERT #PermissionToDanceOnStageSeoul  súper bonito (. ❛… https://t.co/02Y0JOTcbZ
100,Fátima 🤪,2022-03-13 01:26:58,@Cinepolis Gracias Joel y  Cinépolis por transmitir el concierto y haber abierto algunas salas más ✌🏻✌🏻
101,Lupita Huazano,2022-03-13 01:26:50,"#cinepolis
Morelia sala 2
Mi Familia 💜🥰💜🥰 https://t.co/UuPHzOmMFH"
102,🌺Fer Rico 💜💫,2022-03-13 01:26:46,"@Cinepolis Tío porfa me pueden mandar mi boleto conmemorativo?? COMPRE el combo Army y me dijeron, ya después de qu… https://t.co/CAewCLwbPq"
103,"kimIlysm🇦🇷 | SI LO VOY A VER, SOY LA MÁS FELIZ",2022-03-13 01:26:38,"+Gracias a bts por ser lo mejor que me pasó en mi vida, gracias por ser excelentes y ser lo que son, gracias a big… https://t.co/4570QfToF1"
104,Ceci garcia,2022-03-13 01:26:38,@jmygmochis A mi me costo 216 y en pantalla decia 175 y en la imagen que subio Cinepolis decia 137
105,I,2022-03-13 01:26:35,"@AyudaCinepolis @Cinepolis @AyudaCinepolis no se dio ninguna solución, fue en todas las salas del cine y aun así no… https://t.co/kaUM2IGBCl"
106,æ-evev,2022-03-13 01:26:33,"Me encantó, lo disfruté mucho. Me alegra tener mas experiencias así de Bangtan, me alegran la vida. 💜

#cinepolis… https://t.co/ht2LF3PwH8"
107,Adri Castillo,2022-03-13 01:26:26,@noahpar10566046 @Cinepolis En definitiva por eso nos volvemos ilegales jajajajajajajajajajaja
108,Jessi ฅ^•ﻌ•^ฅ,2022-03-13 01:26:23,No considere ni por un segundo ir al concierto de cinepolis pq me da mucho pesar cuando gritan tanto que no escucho las canciones 🥴
109,💘min Gigi💘,2022-03-13 01:26:21,Me cayeron demasiado bien 😭 #BTSARMY #BTSCONCERT2022 #BTS_PTD_ON_STAGE_SEOUL #BTSSUGA #btsconcert #BTScinema… https://t.co/QxQGkq7IPG
110,RaFaEl ⛳🏌,2022-03-13 01:26:20,@carlosjuarez22 @CoeprisTam Es cinepolis de Hidalgo.. Pero no te preocupes si el gobernador andaba allá y saludo a… https://t.co/H2WejJoyHo
111,Mar 🇦🇷 🌱🚲,2022-03-13 01:26:12,Quiero agradecer a la Army que preparó estos regalitos. Cinépolis Avellaneda. Función 15 hs.  Muchas gracias Army💜💜… https://t.co/Sqa94JgLz2
112,luc1,2022-03-13 01:26:03,"+ con mi amiga decidimos irnos tambien, cuando salimos viene una trabajadora de Cinepolis y decirnos q entremos q i… https://t.co/lxFrPZpgWv"
113,Small 🐋💜,2022-03-13 01:25:48,Gracias a la sala 1 de la función de las 12 en #cinepolis acoxpa por hacerme revivir Wings y Idol con todo mi ser n… https://t.co/Oryo5VWPX8
114,Black_Hase,2022-03-13 01:25:48,"@Cinepolis El nuestro también uwur 
Te queremos mucho Joel &gt;w&lt; 💜✨🥺🫰🏻
#BTSARMY #BTS #PTD_ON_STAGE_SEOUL"
