,name,time,tweet
90,ᴮᴱLarisa ⁷💜🧈,2022-03-12 17:54:39,Ya en posición:) #BTSCONCERT #BTS_IN_MEXICO #Cinepolis muuuy bien todo muy organizado:) #ARMY muy en orden y muy am… https://t.co/dt6OfbdWcj
91,verolicia crow ☾ 💜🇲🇽🐙,2022-03-12 17:53:36,"@Cinepolis Todo.. pero sin duda todos los mensajes que transmiten sus canciones, sus actos de bondad, apoyo  y su i… https://t.co/5ypyLcfq3i"
92,Butter 🥞⁷🤟💜🇲🇽,2022-03-12 17:50:16,El mejor dia 😍😍💜💜 #BTS #bts_in_mexico #BTSCONCERT 🎤🎤🎤 https://t.co/dQYm4mWXzE
93,🐥𝚔𝚊𝚛𝚕𝚊✨𝙷𝚊𝚛𝚞✨𝙿𝚊𝚛𝚔🐥,2022-03-12 17:45:29,"Si pude al final alcanze boleto 🥺❤️
#bts_in_mexico #BTSARMY 
#BTSCONCERT https://t.co/ARXndHnq6y"
94,anju2!3! 🦋 ⁷ 🇲🇽 YOONGI DAY,2022-03-12 17:35:15,"Ya casi😍💜 @BTS_twt 

#BTS #BTSARMY #PTD_ON_STAGE_SEOUL #BTSCONCERT #BTS_IN_MEXICO https://t.co/Rc0o7nnITD"
95,♡ Nancy⁷ - 🐱🍊,2022-03-12 17:24:58,"Ya listas 💜✨

#PTD_ON_STAGE_SEOUL #BTSCONCERT #bts_in_mexico #cinepolis https://t.co/9Vk623JnQu"
96,Celebriteen,2022-03-12 16:34:04,"¡Es HOY, #BTSARMY! 😲🙃🤗

Hoy es día de lanzarse al cine a ver a #BTS en su concierto #PTD_ON_STAGE_SEOUL, ¿list@s co… https://t.co/2W8TKi3cMF"
97,B r e a k i e⁷🐳 🥕,2022-03-12 15:26:58,"Recuerden ser amables y respetar las normas del lugar ^^ Disfruten mucho y cuídense !!! 💜💜

#Cinepolis… https://t.co/EEh1ZAh8ox"
98,◍Yelo⁷ ◍|| ㉨🍋,2022-03-12 15:26:16,"COMFIRMADISIMO GENTE, LA VIDENTE DE VENGA LA ALEGRÍA, DIJO QUE BTS EN MEXICOOOO, YO ELIJO CREER 💪💪🇲🇽🇲🇽🇲🇽🇲🇽… https://t.co/6S7xQxeXfG"
99,Renato P,2022-03-12 14:50:10,"@MasQueCineLatam Vendo 2 boletos para el Permission to Dance en 
@Cinepolis Patio Universidad para la función de la… https://t.co/WVF68Z9Vkk"
100,A d e l a,2022-03-12 14:04:30,Ya voy en camino al cine 🥹 estoy tan emocionada que las lágrimas me salen solitas. Disfrutaré mucho este día 💜✨pd.… https://t.co/ZHBnOjgYWo
101,𝓡𝓜✨🇲🇽𝕊𝕠𝕄𝕚𝕟𝕋𝕒𝕖,2022-03-12 13:51:56,"Mi mamá: Hija, estoy muy preocupada por ti, ten mucho cuidado por favor. Me mandas mensaje a cada rato. No sé si vo… https://t.co/IikdpjvnHE"
102,Nuve Voladora 🍊,2022-03-12 06:01:30,Voy a estar regalando sticker en #PTD_ON_STAGE  mañana @CinepolisMEX  Las Americas en Playa del Carmen ! … voy a la… https://t.co/U5vqYD3yuq
103,🌹Ari 🇲🇽🌙,2022-03-12 04:41:42,"Pues ya es hora de irme de mis redes sociales porque quiero llegar sin spoilers al cine 
Bonita noche a todos y dis… https://t.co/qPApxitqUY"
104,Thv🕊Ksj🪶,2022-03-12 04:34:03,Que emoción voy a conocer a mas army’s y ir a ver a los amores de mi vida los 7 chicos que alegran mi día a día… https://t.co/Q0WV2SrEbR
105,M_Alvarez,2022-03-12 04:33:27,"YA MAÑANA ES EL CONCIERTO EN CINES QUE EMOCIÓN Y HASTA LO AGENDE 🤭🕯️💜

#PTD_ON_STAGE
#PTD_ON_STAGE_SEOUL… https://t.co/1M83430s23"
106,ARMY Puebla,2022-03-12 04:28:58,"|×INFO 📰×|
Army te dejamos algunas recomendaciones para mañana.
@BTS_twt 
#BTSCONCERT 
#bts_in_mexico… https://t.co/X9knNHjiwH"
107,Army boletos Puebla,2022-03-12 03:49:43,"Army 
¿Tienes un boleto en horario de las 4 en Angelopolis y te gustaría asistir a la función de las 12?
Contacta a… https://t.co/Hzevtr2vqj"
108,VanHope⁷ ʸᵒᵒⁿᵍⁱ ᵈᵃʸ🍊🐻,2022-03-12 03:42:29,"Chicas tengo 2 boletitos para la función de las 12 en SENDERO (SLP) 🥺 por si alguien anda buscando.

Son excelentes… https://t.co/Y0sEdxNCA3"
109,M_Alvarez,2022-03-12 03:37:53,"¿QUIEN ESTA LIST@ PARA EL CONCIERTO DE MAÑANA? 💃
🕯️💜DIOS VELITA PARA QUE SALGA TODO BIEN MAÑANA 🕯️💜
YA ME ESTOY PRE… https://t.co/VusqJt06oE"
110,ARMY Puebla,2022-03-12 02:33:34,"ARMY!!
En esta publicación pueden comentar si venden boletos para mañana en el cine.
Tengan mucha precaución al ven… https://t.co/bYMAxLYhEd"
111,BTS Mexico,2022-03-12 02:08:15,"Medida del Banner: 30x15cm 💜

#PTD_ON_STAGE_MEXICO #BTS_IN_MEXICO https://t.co/v5SYdWGtfj"
112,BTS Mexico,2022-03-12 02:06:45,"...y esté dispuesto a conocerla. Lo que no sabes de ellas, es que una vez que entran a tu universo, forman una herm… https://t.co/kyvMwyvwbO"
113,B r e a k i e⁷🐳 🥕,2022-03-12 02:06:05,"Ya mañana diossss, mi motivación de la semana por fin ya a unas horas 🥺
#Cinepolis #PermissionToDanceOnStage… https://t.co/4ZdwR6avbE"
